snapshot_date,slug,year,works_count,works_count_incl_xpac,works_count_lineage_incl_xpac,cited_by_count
2026-07-18,leibniz-hannover,2026,2438,2402,2507,489
2026-07-18,leibniz-hannover,2025,3363,4476,4562,8369
2026-07-18,leibniz-hannover,2024,3307,6121,6192,21080
2026-07-18,leibniz-hannover,2023,3405,3831,3903,35196
2026-07-18,leibniz-hannover,2022,3332,3646,3713,41070
2026-07-18,leibniz-hannover,2021,3270,3538,3607,56775
2026-07-18,leibniz-hannover,2020,3004,3592,3672,70237
2026-07-18,leibniz-hannover,2019,2702,2779,2860,75992
2026-07-18,leibniz-hannover,2018,2507,2591,2650,79544
2026-07-18,leibniz-hannover,2017,2536,2586,2666,84494
2026-07-18,leibniz-hannover,2016,2420,2458,2529,83658
2026-07-18,leibniz-hannover,2015,2112,2130,2183,62061
2026-07-18,leibniz-hannover,2014,1993,2005,2069,54178
2026-07-18,leibniz-hannover,2013,1951,1976,2040,53398
2026-07-18,leibniz-hannover,2012,1871,1892,1968,50119
2026-07-18,leibniz-hannover,2011,1698,1717,1812,65477
2026-07-18,leibniz-hannover,2010,1656,1662,1849,55351
